Deputado,Tipo,Municipio,Votos No Municipio,Bairro,Votos No Bairro,RCAN_UESP,RUESP_CAN,RUESP
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,da Prata,100,0.020076,0.002975,0.014009
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,da Viga,1201,0.084763,0.035733,0.039851
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Engenho Pequeno,149,0.021607,0.004433,0.019395
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Esperança,5,0.012376,0.000149,0.001136
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Geneciano,49,0.049545,0.001458,0.002782
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Grama,672,0.128958,0.019994,0.014656
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Iguaçu Velho,157,0.33691,0.004671,0.001311
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Inconfidência,3,0.014925,8.9e-05,0.000565
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Ipiranga,474,0.076948,0.014103,0.017325
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Jardim Alvorada,224,0.031918,0.006665,0.019738
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Jardim Guandu,64,0.012683,0.001904,0.014192
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Jardim Iguaçu,367,0.141808,0.010919,0.007279
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Jardim Nova Era,274,0.038954,0.008152,0.019783
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Jardim Pernambuco,48,0.043956,0.001428,0.003071
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Jardim Tropical,117,0.023839,0.003481,0.013804
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Kennedy,204,0.083778,0.00607,0.006849
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Km - 32,20,0.004257,0.000595,0.013213
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Lagoinha,51,0.027538,0.001517,0.005209
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Montevidéu,51,0.133159,0.001517,0.001077
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Moquetá,119,0.035491,0.003541,0.00943
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Nova América,317,0.171723,0.009432,0.005192
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Paraíso,120,0.034833,0.00357,0.009689
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Parque Ambaí,2129,0.11125,0.063344,0.053824
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Parque Flora,224,0.157303,0.006665,0.004005
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Ponto Chic,1149,0.118064,0.034186,0.027372
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Prados Verdes,37,0.012424,0.001101,0.008376
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Rancho Fundo,5330,0.379386,0.158584,0.039513
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Rancho Novo,22,0.059621,0.000655,0.001038
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Riachão,18,0.015679,0.000536,0.003229
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Rodilândia,115,0.023904,0.003422,0.013531
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Rosa dos Ventos,129,0.020948,0.003838,0.01732
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Santa Eugênia,565,0.059731,0.01681,0.026604
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Santa Rita,1839,0.392362,0.054716,0.013182
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Santo Antônio,51,0.197674,0.001517,0.000726
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Tinguá,630,0.204545,0.018744,0.008663
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Três Corações,253,0.163121,0.007528,0.004362
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Valverde,109,0.02818,0.003243,0.010879
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Vila de Cava,2919,0.245583,0.086849,0.03343
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Vila Nova,339,0.082362,0.010086,0.011576
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Vila Operária,59,0.047967,0.001755,0.003459
Carlinhos BNH,Estaduais,São João de Meriti,405,Agostinho Porto,61,0.002241,0.150617,0.11201
Carlinhos BNH,Estaduais,São João de Meriti,405,Centro,39,0.002036,0.096296,0.078833
Carlinhos BNH,Estaduais,São João de Meriti,405,Coelho da Rocha,23,0.000899,0.05679,0.105236
Carlinhos BNH,Estaduais,São João de Meriti,405,Éden,25,0.003196,0.061728,0.03219
Carlinhos BNH,Estaduais,São João de Meriti,405,Engenheiro Belford,5,0.001244,0.012346,0.016535
Carlinhos BNH,Estaduais,São João de Meriti,405,Jardim Meriti,81,0.001938,0.2,0.172011
Carlinhos BNH,Estaduais,São João de Meriti,405,Jardim Metrópole,23,0.001669,0.05679,0.056709
Carlinhos BNH,Estaduais,São João de Meriti,405,Jardim Sumaré,10,0.001022,0.024691,0.040248
Carlinhos BNH,Estaduais,São João de Meriti,405,Parque Araruama,5,0.00029,0.012346,0.070911
Carlinhos BNH,Estaduais,São João de Meriti,405,São Matheus,48,0.002369,0.118519,0.083392
Carlinhos BNH,Estaduais,São João de Meriti,405,Venda Velha,2,0.000511,0.004938,0.016107
Carlinhos BNH,Estaduais,São João de Meriti,405,Vilar dos Teles,63,0.001479,0.155556,0.175299
Carlinhos BNH,Estaduais,São João de Meriti,405,Vila Tiradentes,20,0.002031,0.049383,0.040519
Carlinhos BNH,Estaduais,Queimados,213,,213,0.00322,1.0,1.0
Elton Cristo,Estaduais,Belford Roxo,329,Andrade Araújo,7,0.002801,0.021277,0.011561
Elton Cristo,Estaduais,Belford Roxo,329,Areia Branca,34,0.001907,0.103343,0.082481
Elton Cristo,Estaduais,Belford Roxo,329,Barro Vermelho,12,0.001161,0.036474,0.047798
